"","X","province","age_inclusion","n","barriers_score","barriers_normalise","compliance_score","compliance_normalise","availability_score","availability_normalise","usage_score","usage_normalise","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"11",11,"Mashonaland West","35+",88,2.27093387045594,0.206448533677812,0.772727272727273,0.386363636363636,4.57548205281183,0.50838689475687,5.87573410998653,0.489644509165544,0.793551466322188,0.206448533677812,0.386363636363636,0.613636363636364,0.50838689475687,0.49161310524313,0.489644509165544,0.510355490834456,2.17794650660824,0.544486626652059,54.45
"12",12,"Mashonaland West","Youth",74,2.19272035770449,0.199338214336772,0.648648648648649,0.324324324324324,4.4472972972973,0.494144144144144,NA,NA,0.800661785663228,0.199338214336772,0.324324324324324,0.675675675675676,0.494144144144144,0.505855855855856,NA,NA,1.6191302541317,0.404782563532924,40.48
"13",13,"Masvingo","35+",105,1.52331471699637,0.138483156090579,0.476190476190476,0.238095238095238,3.5931435637318,0.399238173747978,5.16405492871512,0.43033791072626,0.861516843909421,0.138483156090579,0.238095238095238,0.761904761904762,0.399238173747978,0.600761826252022,0.43033791072626,0.56966208927374,1.9291881664789,0.482297041619724,48.23
"14",14,"Masvingo","Youth",49,2.19530186110288,0.199572896463898,0.326530612244898,0.163265306122449,3.97285823474593,0.441428692749548,4.15484170591313,0.346236808826095,0.800427103536102,0.199572896463898,0.163265306122449,0.836734693877551,0.441428692749548,0.558571307250452,0.346236808826095,0.653763191173905,1.75135791123419,0.437839477808548,43.78
"15",15,"Matabeleland North","35+",98,1.95850571173391,0.178045973793992,0.918367346938775,0.459183673469388,3.66032395394202,0.406702661549113,NA,NA,0.821954026206008,0.178045973793992,0.459183673469388,0.540816326530612,0.406702661549113,0.593297338450887,NA,NA,1.68784036122451,0.421960090306127,42.2
"16",16,"Matabeleland North","Youth",46,1.89018398699583,0.171834907908712,0.673913043478261,0.33695652173913,3.39125418060201,0.37680602006689,NA,NA,0.828165092091288,0.171834907908712,0.33695652173913,0.66304347826087,0.37680602006689,0.62319397993311,NA,NA,1.54192763389731,0.385481908474327,38.55
"17",17,"Matabeleland South","35+",106,2.05560351044862,0.18687304640442,1.37735849056604,0.688679245283019,3.92201257861635,0.435779175401817,4.50695269399919,0.375579391166599,0.81312695359558,0.18687304640442,0.688679245283019,0.311320754716981,0.435779175401817,0.564220824598183,0.375579391166599,0.624420608833401,2.31316476544702,0.578291191361754,57.83
"18",18,"Matabeleland South","Youth",33,2.09942909729531,0.19085719066321,1.03030303030303,0.515151515151515,3.37070707070707,0.374523007856341,4.67010101010101,0.389175084175084,0.80914280933679,0.19085719066321,0.515151515151515,0.484848484848485,0.374523007856341,0.625476992143659,0.389175084175084,0.610824915824916,2.08799241651973,0.521998104129933,52.2
"19",19,"Midlands","35+",73,1.57854044097603,0.143503676452366,1.02739726027397,0.513698630136986,3.63435888709266,0.403817654121406,4.86656882293999,0.405547401911666,0.856496323547634,0.143503676452366,0.513698630136986,0.486301369863014,0.403817654121406,0.596182345878594,0.405547401911666,0.594452598088334,2.17956000971769,0.544890002429423,54.49
"20",20,"Midlands","Youth",53,2.2855793890629,0.207779944460263,0.490566037735849,0.245283018867925,2.40053908355795,0.266726564839772,NA,NA,0.792220055539737,0.207779944460263,0.245283018867925,0.754716981132075,0.266726564839772,0.733273435160228,NA,NA,1.30422963924743,0.326057409811858,32.61
