"","X","province","size_inclusion","n","barriers_score","barriers_normalise","compliance_score","compliance_normalise","availability_score","availability_normalise","usage_score","usage_normalise","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"20",20,"Masvingo","micro",114,1.60994806745198,0.146358915222908,0.12280701754386,0.0614035087719298,3.52385772122614,0.391539746802905,3.67119112827317,0.305932594022764,0.853641084777092,0.146358915222908,0.0614035087719298,0.93859649122807,0.391539746802905,0.608460253197095,0.305932594022764,0.694067405977236,1.61251693437469,0.403129233593673,40.31
"21",21,"Masvingo","small",39,1.7629782279752,0.160270747997745,1.28205128205128,0.641025641025641,4.32660043774595,0.480733381971772,5.63164510068535,0.469303758390446,0.839729252002255,0.160270747997745,0.641025641025641,0.358974358974359,0.480733381971772,0.519266618028228,0.469303758390446,0.530696241609554,2.43079203339011,0.607698008347529,60.77
"22",22,"Matabeleland North","medium",3,1.94444444444444,0.176767676767677,2,1,5.63333333333333,0.625925925925926,NA,NA,0.823232323232323,0.176767676767677,1,0,0.625925925925926,0.374074074074074,NA,NA,2.44915824915825,0.612289562289562,61.23
"23",23,"Matabeleland North","micro",104,1.95559595831465,0.177781450755878,0.596153846153846,0.298076923076923,3.2229121342988,0.358101348255422,NA,NA,0.822218549244122,0.177781450755878,0.298076923076923,0.701923076923077,0.358101348255422,0.641898651744578,NA,NA,1.47839682057647,0.369599205144117,36.96
"24",24,"Matabeleland North","small",37,1.87597241617403,0.170542946924912,1.43243243243243,0.716216216216216,4.34997497497497,0.483330552774997,NA,NA,0.829457053075088,0.170542946924912,0.716216216216216,0.283783783783784,0.483330552774997,0.516669447225003,NA,NA,2.0290038220663,0.507250955516575,50.73
"25",25,"Matabeleland South","medium",18,0.799626517273576,0.0726933197521433,1.88888888888889,0.944444444444444,5.18111111111111,0.575679012345679,5.26709401709402,0.438924501424501,0.927306680247857,0.0726933197521433,0.944444444444444,0.055555555555556,0.575679012345679,0.424320987654321,0.438924501424501,0.561075498575499,2.88635463846248,0.72158865961562,72.16
"26",26,"Matabeleland South","micro",81,2.6035908988361,0.236690081712373,0.975308641975309,0.487654320987654,3.47546983256178,0.386163314729086,3.78911579563753,0.315759649636461,0.763309918287627,0.236690081712373,0.487654320987654,0.512345679012346,0.386163314729086,0.613836685270914,0.315759649636461,0.684240350363539,1.95288720364083,0.488221800910207,48.82
"27",27,"Matabeleland South","small",40,2.10943510648602,0.191766827862366,1.675,0.8375,4.13781512605042,0.459757236227824,4.44488795518207,0.370407329598506,0.808233172137634,0.191766827862366,0.8375,0.1625,0.459757236227824,0.540242763772176,0.370407329598506,0.629592670401494,2.47589773796396,0.618974434490991,61.9
"28",28,"Midlands","medium",3,1.1,0.1,1.66666666666667,0.833333333333333,6.33333333333333,0.703703703703704,NA,NA,0.9,0.1,0.833333333333333,0.166666666666667,0.703703703703704,0.296296296296296,NA,NA,2.43703703703704,0.609259259259259,60.93
"29",29,"Midlands","micro",97,1.78189841513804,0.161990765012549,0.56701030927835,0.283505154639175,2.06310247598907,0.22923360844323,4.96389802832005,0.413658169026671,0.838009234987451,0.161990765012549,0.283505154639175,0.716494845360825,0.22923360844323,0.77076639155677,0.413658169026671,0.586341830973329,1.76440616709653,0.441101541774132,44.11
"30",30,"Midlands","small",26,1.79144359381179,0.162858508528345,1.57692307692308,0.788461538461538,5.03115821227276,0.559017579141418,5.8695875907718,0.489132299230983,0.837141491471655,0.162858508528345,0.788461538461538,0.211538461538462,0.559017579141418,0.440982420858582,0.489132299230983,0.510867700769017,2.67375290830559,0.668438227076399,66.84
