"","X","province","sector_inclusion","n","barriers_score","barriers_normalise","compliance_score","compliance_normalise","availability_score","availability_normalise","usage_score","usage_normalise","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"23",23,"Mashonaland West","Other",90,2.11588125697843,0.192352841543493,0.633333333333333,0.316666666666667,4.38298538011696,0.486998375568551,5.96265062693372,0.496887552244477,0.807647158456507,0.192352841543493,0.316666666666667,0.683333333333333,0.486998375568551,0.513001624431449,0.496887552244477,0.503112447755523,2.1081997529362,0.527049938234051,52.7
"24",24,"Mashonaland West","Retail",29,2.28510005032561,0.207736368211419,0.551724137931034,0.275862068965517,4.19211822660098,0.465790914066776,NA,NA,0.792263631788581,0.207736368211419,0.275862068965517,0.724137931034483,0.465790914066776,0.534209085933224,NA,NA,1.53391661482087,0.383479153705218,38.35
"25",25,"Masvingo","Agriculture",13,1.93393939393939,0.175812672176309,0.307692307692308,0.153846153846154,NA,NA,NA,NA,0.824187327823691,0.175812672176309,0.153846153846154,0.846153846153846,NA,NA,NA,NA,0.978033481669845,0.244508370417461,24.45
"26",26,"Masvingo","Other",129,1.70072066336927,0.154610969397207,0.418604651162791,0.209302325581395,3.63717531703131,0.404130590781257,4.16235703872136,0.346863086560113,0.845389030602793,0.154610969397207,0.209302325581395,0.790697674418605,0.404130590781257,0.595869409218743,0.346863086560113,0.653136913439887,1.80568503352556,0.45142125838139,45.14
"27",27,"Masvingo","Retail",12,2.33633658008658,0.212394234553325,0.666666666666667,0.333333333333333,4.38,0.486666666666667,5.30090909090909,0.441742424242424,0.787605765446675,0.212394234553325,0.333333333333333,0.666666666666667,0.486666666666667,0.513333333333333,0.441742424242424,0.558257575757576,2.0493481896891,0.512337047422275,51.23
"28",28,"Matabeleland North","Agriculture",11,1.75440115440115,0.159491014036469,0.909090909090909,0.454545454545455,3.03863636363636,0.337626262626263,NA,NA,0.840508985963531,0.159491014036469,0.454545454545455,0.545454545454545,0.337626262626263,0.662373737373737,NA,NA,1.63268070313525,0.408170175783812,40.82
"29",29,"Matabeleland North","Mining",1,2,0.181818181818182,2,1,NA,NA,NA,NA,0.818181818181818,0.181818181818182,1,0,NA,NA,NA,NA,1.81818181818182,0.454545454545454,45.45
"30",30,"Matabeleland North","Other",88,1.92450564701887,0.174955058819897,0.693181818181818,0.346590909090909,3.39039057026511,0.37671006336279,NA,NA,0.825044941180103,0.174955058819897,0.346590909090909,0.653409090909091,0.37671006336279,0.62328993663721,NA,NA,1.5483459136338,0.387086478408451,38.71
"31",31,"Matabeleland North","Retail",44,1.91817771832617,0.174379792575106,1.09090909090909,0.545454545454545,4.10579051383399,0.456198945981555,NA,NA,0.825620207424894,0.174379792575106,0.545454545454545,0.454545454545455,0.456198945981555,0.543801054018445,NA,NA,1.82727369886099,0.456818424715248,45.68
"32",32,"Matabeleland South","Agriculture",16,1.28625130821559,0.116931937110509,1.25,0.625,3.39583333333333,0.377314814814815,5.52777777777778,0.460648148148148,0.883068062889491,0.116931937110509,0.625,0.375,0.377314814814815,0.622685185185185,0.460648148148148,0.539351851851852,2.34603102585245,0.586507756463113,58.65
"33",33,"Matabeleland South","Mining",11,1.36939277983921,0.124490252712655,1.18181818181818,0.590909090909091,4.13560606060606,0.459511784511785,5.33358585858586,0.444465488215488,0.875509747287345,0.124490252712655,0.590909090909091,0.409090909090909,0.459511784511785,0.540488215488215,0.444465488215488,0.555534511784512,2.37039611092371,0.592599027730927,59.26
"34",34,"Matabeleland South","Other",54,1.81776255321826,0.16525114120166,1.14814814814815,0.574074074074074,3.4747444276856,0.386082714187289,3.99607843137255,0.333006535947712,0.83474885879834,0.16525114120166,0.574074074074074,0.425925925925926,0.386082714187289,0.613917285812711,0.333006535947712,0.666993464052288,2.12791218300741,0.531978045751854,53.2
"35",35,"Matabeleland South","Retail",58,2.49317441634036,0.226652219667306,1.46551724137931,0.732758620689655,3.99048259558164,0.443386955064627,4.28682950191571,0.357235791826309,0.773347780332694,0.226652219667306,0.732758620689655,0.267241379310345,0.443386955064627,0.556613044935373,0.357235791826309,0.642764208173691,2.30672914791328,0.576682286978321,57.67
"36",36,"Midlands","Agriculture",7,2.67890306122449,0.243536641929499,0.571428571428571,0.285714285714286,3.08571428571429,0.342857142857143,NA,NA,0.756463358070501,0.243536641929499,0.285714285714286,0.714285714285714,0.342857142857143,0.657142857142857,NA,NA,1.38503478664193,0.346258696660482,34.63
"37",37,"Midlands","Mining",5,2.11257936507937,0.19205266955267,0.8,0.4,2.6,0.288888888888889,NA,NA,0.80794733044733,0.19205266955267,0.4,0.6,0.288888888888889,0.711111111111111,NA,NA,1.49683621933622,0.374209054834055,37.42
"38",38,"Midlands","Other",78,1.67542078526962,0.152310980479056,0.769230769230769,0.384615384615385,3.40862470862471,0.378736078736079,5.34467754467754,0.445389795389795,0.847689019520944,0.152310980479056,0.384615384615385,0.615384615384615,0.378736078736079,0.621263921263921,0.445389795389795,0.554610204610205,2.0564302782622,0.514107569565551,51.41
"39",39,"Midlands","Retail",36,1.93072562358277,0.175520511234797,0.916666666666667,0.458333333333333,2.88571428571429,0.320634920634921,3.09313725490196,0.257761437908497,0.824479488765203,0.175520511234797,0.458333333333333,0.541666666666667,0.320634920634921,0.679365079365079,0.257761437908497,0.742238562091503,1.86120918064195,0.465302295160488,46.53
