"","X","province","sector_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"11",11,"Manicaland","Agriculture",11,11,11,0.0781746031746032,0.212962962962963,0.173611111111111,0.402083333333333,0.09,0.19375,0.125,0.0888888888888889,0.18,0.525252525252525,0.8,0.714285714285714,67.98,11,0.454545454545455,0.363636363636364,40.91,11,0.454545454545455,0.4,0.285714285714286,0.272727272727273,0.0909090909090909,0.636363636363636,0.571428571428571,0.454545454545455,0.636363636363636,42.25,11,0.545454545454545,0.545454545454545,0.8,0.5,0.181818181818182,0.333333333333333,0,0.5,0.857142857142857,0.285714285714286,0.428571428571429,0.545454545454545,46.02,0.32015392015392,0.67984607984608,0.409090909090909,0.590909090909091,0.422510822510823,0.577489177489177,0.46024531024531,0.53975468975469,1.61200096200096,0.403000240500241,40.3
"12",12,"Manicaland","Mining",5,12,5,0.205555555555556,0,0.1625,0.247619047619048,0.09,0.377777777777778,0.0833333333333333,0,0.24,0.675,0,1,55.83,12,0.6,0.6,60,12,0.2,0,0,0,0,0.2,1,0.2,0.6,24.44,12,0.6,0.4,1,0,0,0,0,0,1,0,0,0.4,28.33,0.441666666666667,0.558333333333333,0.6,0.4,0.244444444444444,0.755555555555556,0.283333333333333,0.716666666666667,1.56944444444444,0.392361111111111,39.24
"13",13,"Manicaland","Other",81,13,81,0.117484477878663,0.117377878225067,0.167602490977606,0.34738245224223,0.155604040085221,0.156872294372294,0.0530359820089955,0.137252000970167,0.0911428636484137,0.485013717421125,0.441176470588235,0.7,54.21,13,0.617283950617284,0.555555555555556,58.64,13,0.419753086419753,0.441176470588235,0.138888888888889,0.259259259259259,0.135802469135802,0.6375,0.392156862745098,0.493827160493827,0.444444444444444,37.36,13,0.382716049382716,0.37037037037037,0.970588235294118,0.4,0.172839506172839,0.380952380952381,0.452380952380952,0.404761904761905,0.92156862745098,0.117647058823529,0.156862745098039,0.45679012345679,43.23,0.45793660399688,0.54206339600312,0.58641975308642,0.41358024691358,0.373645404663923,0.626354595336077,0.432289829512052,0.567710170487948,1.85029159125928,0.462572897814819,46.26
"14",14,"Manicaland","Retail",38,14,38,0.135269069479596,0.026984126984127,0.0901515151515151,0.374261398274556,0.227567690725585,0.111136255873098,0.0238095238095238,0.120567696883486,0.0636930163245953,0.487118697645013,0.647058823529412,0.875,66.97,14,0.921052631578947,0.605263157894737,76.32,14,0.447368421052632,0.588235294117647,0,0.131578947368421,0.0263157894736842,0.842105263157895,0.78125,0.736842105263158,0.447368421052632,44.46,14,0.189189189189189,0.131578947368421,0.764705882352941,0,0.184210526315789,0.2,0.4,0.4,1,0.0967741935483871,0.125,0.5,33.26,0.330274159608525,0.669725840391475,0.763157894736842,0.236842105263158,0.444562693498452,0.555437306501548,0.332621561564561,0.667378438435439,1.87061630940838,0.467654077352095,46.77
"15",15,"Manicaland","Vending",16,15,16,0.200340136054422,0.0666666666666667,0.310416666666667,0.176165674603175,0.0916666666666667,0.161458333333333,0,0.121428571428571,0.0766666666666667,0.645833333333333,1,0.571428571428571,73.91,15,0.125,0.0625,9.38,15,0.0625,1,0,0,0,0.4375,0.571428571428571,0.3125,0.5,32.04,15,0.0625,0.4375,1,0,0.0625,0,0,0,0.857142857142857,0,0.166666666666667,0.25,23.64,0.260912698412698,0.739087301587302,0.09375,0.90625,0.320436507936508,0.679563492063492,0.236359126984127,0.763640873015873,0.911458333333333,0.227864583333333,22.79
"16",16,"Mashonaland Central","Agriculture",16,16,16,0.142490842490842,0.171969696969697,0.276893939393939,0.102935606060606,0.125617715617716,0.181089743589744,0.183333333333333,0.0933333333333333,0.10972027972028,0.500462962962963,0.4,0.714285714285714,53.82,16,0.375,0.1875,28.12,16,0.3125,0.6,0.142857142857143,0.25,0.125,0.4375,0.857142857142857,0.6875,0.4375,42.78,16,0.25,0.1875,1,1,0.375,0.291666666666667,0.125,0.291666666666667,1,0.142857142857143,0.142857142857143,0.5,44.22,0.461750440917108,0.538249559082892,0.28125,0.71875,0.427777777777778,0.572222222222222,0.442212301587302,0.557787698412698,1.61299052028219,0.403247630070547,40.32
"17",17,"Mashonaland Central","Mining",2,17,2,0.333333333333333,0,0.25,0.214285714285714,0.4,0,0,0.125,0.1,0.875,0,0,29.17,17,0,0,0,17,0,0,0,0,0,0,0,0.5,0,5.56,17,0,0,0,0,0,0,0,0,0,0,0,0.5,4.17,0.708333333333333,0.291666666666667,0,1,0.0555555555555556,0.944444444444444,0.0416666666666667,0.958333333333333,0.805555555555555,0.201388888888889,20.14
"18",18,"Mashonaland Central","Other",41,18,41,0.186670172765835,0.100909842845327,0.147366616638029,0.19200551403383,0.075942604770191,0.0521812957157785,0.0243212669683258,0.0882692668696726,0.0311389759665622,0.367334533605394,0.357142857142857,0.538461538461538,42.1,18,0.585365853658537,0.24390243902439,41.46,18,0.341463414634146,0.461538461538462,0,0.195121951219512,0.0975609756097561,0.358974358974359,0.769230769230769,0.829268292682927,0.210526315789474,36.26,18,0.102564102564103,0.0975609756097561,0.928571428571429,0,0.195121951219512,0.401785714285714,0,0,0.928571428571429,0.0714285714285714,0.1,0.682926829268293,29.24,0.57902035693007,0.42097964306993,0.414634146341463,0.585365853658537,0.362631615519934,0.637368384480066,0.292377583459901,0.707622416540099,1.64866370225137,0.412165925562842,41.22
"19",19,"Mashonaland Central","Retail",11,19,11,0.098015873015873,0.111111111111111,0.186805555555556,0.271875,0.0472222222222222,0.186805555555556,0.133333333333333,0.0916666666666667,0.0222222222222222,0.401739618406285,0,0.25,21.72,19,0.636363636363636,0.363636363636364,50,19,0.545454545454545,0.5,0,0.0909090909090909,0,0.727272727272727,0.875,0.636363636363636,0.375,41.67,19,0,0.0909090909090909,1,0,0.181818181818182,1,0,0,1,0.125,0.333333333333333,0.545454545454545,35.64,0.782753460531238,0.217246539468762,0.5,0.5,0.416666666666667,0.583333333333333,0.356376262626263,0.643623737373737,2.05579638982417,0.513949097456042,51.39
"20",20,"Mashonaland Central","Vending",39,20,39,0.206430236430236,0.154644268774704,0.126010312151617,0.224826251646904,0.0509577379142597,0.0427272727272727,0,0.0927692307692308,0.056,0.446413021208343,0,0.416666666666667,28.77,20,0.333333333333333,0.0256410256410256,17.95,20,0.128205128205128,0.4,0,0.0769230769230769,0,0.384615384615385,0.571428571428571,0.564102564102564,0.115384615384615,24.9,20,0.0769230769230769,0.307692307692308,1,0,0.102564102564103,0.333333333333333,0,0,1,0.111111111111111,0.166666666666667,0.564102564102564,30.52,0.71230677070833,0.28769322929167,0.179487179487179,0.820512820512821,0.248962148962149,0.751037851037851,0.30519943019943,0.69480056980057,1.44595552935709,0.361488882339272,36.15
