"","X","province","location_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"11",11,"Mashonaland West","Rural",95,11,95,0.239141583864006,0.0992063492063492,0.231511544011544,0.18496699714251,0.0952250903049247,0.0195279020346824,0.0789891395154553,0.128406537282942,0.0292118617961315,0.421769477457084,0.375,0.684210526315789,49.37,11,0.347368421052632,0.305263157894737,32.63,11,0.336842105263158,0.935483870967742,0.0833333333333333,0.305263157894737,0.0631578947368421,0.6,0.894736842105263,0.4,0.473684210526316,45.47,11,0.48936170212766,0.536842105263158,0.96875,0,0.0947368421052632,0.398399014778325,0.704433497536946,0.425492610837438,1,0.0175438596491228,0.589285714285714,0.389473684210526,46.79,0.506339998742376,0.493660001257624,0.326315789473684,0.673684210526316,0.454722379425266,0.545277620574734,0.467859919232846,0.532140080767154,1.75523808687417,0.438809521718543,43.88
"12",12,"Mashonaland West","Urban",67,12,67,0.153585443601489,0.0858171882762047,0.146030948207719,0.176977520714713,0.097186350075501,0.01640625,0.113782051282051,0.214793783260764,0.0451873689727463,0.396683250414594,0.521739130434783,0.804878048780488,57.44,12,0.417910447761194,0.388059701492537,40.3,12,0.343283582089552,0.956521739130435,0.0454545454545455,0.328358208955224,0.0447761194029851,0.611940298507463,0.804878048780488,0.417910447761194,0.402985074626866,43.96,12,0.388059701492537,0.522388059701492,0.956521739130435,1,0.0895522388059701,0.113636363636364,0.613636363636364,0.386363636363636,0.951219512195122,0.15,0.804878048780488,0.373134328358209,52.91,0.425566523456712,0.574433476543288,0.402985074626866,0.597014925373134,0.439567562745417,0.560432437254583,0.529115832675051,0.470884167324949,1.79723499350405,0.449308748376011,44.93
"13",13,"Masvingo","Rural",93,13,93,0.0924249031391889,0.0151515151515152,0.193173483493251,0.232519288388737,0.202334215718617,0.353593544137022,0.0361398219925352,0.025656220322887,0.0605461394015489,0.547737779855592,0.285714285714286,0.352941176470588,39.55,13,0.129032258064516,0.0752688172043011,10.22,13,0.0752688172043011,0.857142857142857,0.05,0.193548387096774,0,0.376344086021505,0.685714285714286,0.827956989247312,0.0760869565217391,34.91,13,0.255555555555556,0.483870967741935,1,0,0.0537634408602151,0,0.25,0.111111111111111,1,0.0285714285714286,0.264705882352941,0.172043010752688,30.16,0.604535585986511,0.395464414013489,0.102150537634409,0.897849462365591,0.349118042105419,0.650881957894581,0.301635116412156,0.698364883587844,1.3574392821385,0.339359820534624,33.94
"14",14,"Masvingo","Urban",61,14,61,0.0672642927965375,0.0602981029810298,0.180112735979055,0.1714404757275,0.21447514866283,0.27083134586235,0.0202702702702703,0.0272326067282661,0.0289703045335538,0.424408014571949,0.15,0.454545454545455,34.3,14,0.39344262295082,0.377049180327869,38.52,14,0.327868852459016,0.6,0.0555555555555556,0.327868852459016,0.0327868852459016,0.360655737704918,0.5,0.80327868852459,0.333333333333333,37.13,14,0.262295081967213,0.377049180327869,1,1,0.213114754098361,0.2,0.425,0.35,1,0.181818181818182,0.409090909090909,0.360655737704918,48.16,0.657015510294199,0.342984489705801,0.385245901639344,0.614754098360656,0.371260878364704,0.628739121635296,0.481585320417288,0.518414679582712,1.89510761071554,0.473776902678884,47.38
"15",15,"Matabeleland North","Rural",85,15,85,0.25024664175216,0.0811594202898551,0.128356777493606,0.378164964634965,0.0727633515428172,0.0904548137605366,0.0966764214046823,0.0824815746502493,0.0345980194068198,0.614142283419392,0.125,0.708860759493671,48.27,15,0.435294117647059,0.129411764705882,28.24,15,0.188235294117647,0.6875,0,0.0235294117647059,0.0117647058823529,0.929411764705882,0.949367088607595,0.141176470588235,0.273809523809524,35.61,15,0.129411764705882,0.141176470588235,0.75,0,0.2,0,1,0,0.974683544303797,0,0,0.0588235294117647,27.12,0.517332319028979,0.482667680971021,0.282352941176471,0.717647058823529,0.356088251052882,0.643911748947118,0.27117460908414,0.72882539091586,1.42694812034247,0.356737030085618,35.67
"16",16,"Matabeleland North","Urban",57,16,57,0.155617477760335,0.0362745098039216,0.0838235294117647,0.477176995798319,0.139880952380952,0.172362637362637,0.0494047619047619,0.125,0.017032967032967,0.477582846003899,0.0540540540540541,0.414634146341463,31.54,16,0.631578947368421,0.578947368421053,60.53,16,0.649122807017544,0.513513513513513,0,0.315789473684211,0.263157894736842,0.719298245614035,0.682926829268293,0.192982456140351,0.368421052631579,41.17,16,0.105263157894737,0.228070175438596,1,0,0.105263157894737,0.333333333333333,0.166666666666667,0.388888888888889,0.926829268292683,0,0.0731707317073171,0.12280701754386,28.75,0.684576317866861,0.315423682133139,0.605263157894737,0.394736842105263,0.411690252511819,0.588309747488181,0.287524366471735,0.712475633528265,1.98905409474515,0.497263523686288,49.73
"17",17,"Matabeleland South","Rural",94,17,94,0.139430752351155,0.0765891472868217,0.065143888711904,0.238874787560675,0.127416595580979,0.184999247328014,0.101438561438561,0.098426261713933,0.0919747771254621,0.416698441749917,0.5,0.387096774193548,43.46,17,0.648936170212766,0.51063829787234,57.98,17,0.468085106382979,0.477272727272727,0.0533333333333333,0.223404255319149,0.0212765957446809,0.329787234042553,0.709677419354839,0.414893617021277,0.319148936170213,33.52,17,0.202127659574468,0.148936170212766,0.977272727272727,0.25,0.0851063829787234,0.333333333333333,0.0714285714285714,0.380952380952381,0.935483870967742,0,0.0967741935483871,0.414893617021277,32.47,0.565401594685511,0.434598405314489,0.579787234042553,0.420212765957447,0.335208802737972,0.664791197262028,0.324692408940865,0.675307591059135,1.8050900404069,0.451272510101725,45.13
"18",18,"Matabeleland South","Urban",45,18,45,0.0822055137844612,0.019047619047619,0.0274436090225564,0.401488095238095,0.126867167919799,0.204166666666667,0,0.00526315789473684,0.0519298245614035,0.337205387205387,0.457142857142857,0.521739130434783,43.87,18,0.8,0.777777777777778,78.89,18,0.777777777777778,0.542857142857143,0.162162162162162,0.333333333333333,0.333333333333333,0.533333333333333,0.541666666666667,0.466666666666667,0.755555555555556,49.41,18,0.155555555555556,0.2,0.971428571428571,0.166666666666667,0.222222222222222,0.4,0.166666666666667,0.366666666666667,1,0,0.0833333333333333,0.288888888888889,33.51,0.561304208405658,0.438695791594342,0.788888888888889,0.211111111111111,0.494076219076219,0.505923780923781,0.335119047619048,0.664880952380952,2.17938836398981,0.544847090997453,54.48
"19",19,"Midlands","Rural",89,19,89,0.318149472690992,0.107610698869974,0.126880116422106,0.151572823325535,0.0307978965397276,0.0664173727089943,0.0517461172457133,0.141407729291757,0.161863239707788,0.569813301554875,0.4,0.555555555555556,50.85,19,0.471910112359551,0.134831460674157,30.34,19,0.112359550561798,0.8,0.0208333333333333,0.0337078651685393,0.0224719101123595,0.101123595505618,0.666666666666667,0.337078651685393,0.303370786516854,26.64,19,0.247058823529412,0.179775280898876,1,0,0.0112359550561798,0,0.416666666666667,0.166666666666667,0.888888888888889,0,0.111111111111111,0.224719101123595,27.05,0.491543714296523,0.508456285703477,0.303370786516854,0.696629213483146,0.266401373283396,0.733598626716604,0.27051020782845,0.72948979217155,1.33182608192522,0.332956520481306,33.3
"20",20,"Midlands","Urban",37,20,37,0.134012214523298,0.233452380952381,0.157986111111111,0.188773742421372,0.0464285714285714,0.0852062807881773,0.0292307692307692,0.123031135531136,0.164186507936508,0.465465465465465,0.19047619047619,0.25,30.2,20,0.648648648648649,0.621621621621622,63.51,20,0.567567567567568,0.666666666666667,0.0416666666666667,0.243243243243243,0.135135135135135,0.324324324324324,0.666666666666667,0.486486486486487,0.648648648648649,42,20,0.243243243243243,0.378378378378378,0.952380952380952,1,0.243243243243243,0.166666666666667,0.5,0.277777777777778,0.916666666666667,0.166666666666667,0.333333333333333,0.216216216216216,44.95,0.698019448019448,0.301980551980552,0.635135135135135,0.364864864864865,0.420045045045045,0.579954954954955,0.449547762047762,0.550452237952238,2.20274739024739,0.550686847561847,55.07
