"","X","province","age_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"11",11,"Mashonaland West","35+",88,11,88,0.190500465659101,0.112573099415205,0.184567012678074,0.165485159123792,0.111880840605194,0.0214746512849061,0.0978720840562946,0.201620653880541,0.035233792979853,0.39364575992483,0.451612903225806,0.69811320754717,51.45,11,0.409090909090909,0.363636363636364,38.64,11,0.352272727272727,0.9,0.0869565217391304,0.329545454545455,0.0795454545454545,0.602272727272727,0.811320754716981,0.409090909090909,0.454545454545455,44.73,11,0.436781609195402,0.579545454545455,0.935483870967742,0.5,0.113636363636364,0.259852216748768,0.633620689655172,0.442118226600985,1,0.0943396226415094,0.692307692307692,0.375,50.52,0.485542709767398,0.514457290232602,0.386363636363636,0.613636363636364,0.447283333747649,0.552716666252351,0.505223812191591,0.494776187808409,1.82441349207027,0.456103373017568,45.61
"12",12,"Mashonaland West","Youth",74,12,74,0.218494137927898,0.0719806763285024,0.208367218212756,0.196954931392732,0.0772573719887694,0.0145833333333333,0.0890608950843727,0.0843375829098113,0.0372397660818713,0.432599265932599,0.416666666666667,0.777777777777778,54.23,12,0.337837837837838,0.310810810810811,32.43,12,0.324324324324324,1,0,0.297297297297297,0.027027027027027,0.608108108108108,0.911111111111111,0.405405405405405,0.432432432432432,44.51,12,0.459459459459459,0.472972972972973,1,0,0.0675675675675676,0.295454545454545,0.704545454545455,0.363636363636364,0.955555555555556,0.0454545454545455,0.666666666666667,0.391891891891892,45.19,0.457652096540985,0.542347903459015,0.324324324324324,0.675675675675676,0.445078411745078,0.554921588254922,0.451933751933752,0.548066248066248,1.67898858454414,0.419747146136035,41.97
"13",13,"Masvingo","35+",105,13,105,0.0654828308494614,0.0329996292176492,0.180242071800912,0.250410093713621,0.249379648411089,0.264241946778711,0.0310565870910698,0.025814479638009,0.0423060481144627,0.487148962148962,0.111111111111111,0.27027027027027,28.95,13,0.257142857142857,0.219047619047619,23.81,13,0.171428571428571,0.555555555555556,0.0588235294117647,0.238095238095238,0.019047619047619,0.352380952380952,0.702702702702703,0.838095238095238,0.142857142857143,34.21,13,0.29126213592233,0.438095238095238,1,1,0.114285714285714,0.08,0.36,0.24,1,0.0810810810810811,0.243243243243243,0.2,42.07,0.710489885489886,0.289510114510114,0.238095238095238,0.761904761904762,0.342109616619421,0.657890383380579,0.420663951052301,0.579336048947699,1.71135869125685,0.427839672814211,42.78
"14",14,"Masvingo","Youth",49,14,49,0.1218715393134,0.0238372093023256,0.202325581395349,0.185108226580528,0.113803854875283,0.457748724489796,0.03125,0.0272222222222222,0.0672222222222222,0.523809523809524,0.333333333333333,0.631578947368421,49.62,14,0.183673469387755,0.142857142857143,16.33,14,0.183673469387755,0.888888888888889,0.0476190476190476,0.26530612244898,0,0.408163265306122,0.45,0.775510204081633,0.25531914893617,36.38,14,0.1875,0.448979591836735,1,0,0.122448979591837,0.153846153846154,0.307692307692308,0.230769230769231,1,0.1,0.473684210526316,0.346938775510204,36.43,0.503759398496241,0.496240601503759,0.163265306122449,0.836734693877551,0.363831127407622,0.636168872592378,0.364321604147732,0.635678395852268,1.39517743617404,0.348794359043511,34.88
"15",15,"Matabeleland North","35+",97,15,97,0.188261357821532,0.0527729384436701,0.0940766550522648,0.395318522310865,0.148453198367444,0.128417899929528,0.0892857142857143,0.0938503144366356,0.0300319431590889,0.557579731114728,0.0487804878048781,0.6625,42.3,15,0.56701030927835,0.34020618556701,45.36,15,0.422680412371134,0.634146341463415,0,0.154639175257732,0.11340206185567,0.824742268041237,0.8375,0.154639175257732,0.3125,38.38,15,0.134020618556701,0.185567010309278,0.926829268292683,0,0.154639175257732,0.266666666666667,0.333333333333333,0.333333333333333,0.9625,0,0.025,0.0721649484536082,28.28,0.577046593693465,0.422953406306535,0.45360824742268,0.54639175257732,0.383805492694102,0.616194507305898,0.282837862850278,0.717162137149722,1.69729819666053,0.424324549165131,42.43
"16",16,"Matabeleland North","Youth",45,16,45,0.291201126915413,0.00900900900900901,0.138411138411138,0.39514872014872,0.0651515151515152,0.1125,0.105098605098605,0.072022607022607,0.0266666666666667,0.562962962962963,0.166666666666667,0.5,40.99,16,0.4,0.244444444444444,32.22,16,0.266666666666667,0.333333333333333,0,0.111111111111111,0.111111111111111,0.888888888888889,0.9,0.177777777777778,0.311111111111111,34.44,16,0.0888888888888889,0.155555555555556,0.916666666666667,0,0.177777777777778,0.4,0,0.4,0.95,0,0.025,0.111111111111111,26.88,0.590123456790123,0.409876543209877,0.322222222222222,0.677777777777778,0.344444444444444,0.655555555555556,0.26875,0.73125,1.52554012345679,0.381385030864197,38.14
"17",17,"Matabeleland South","35+",106,17,106,0.109190246146768,0.0685468076772425,0.0447766108499804,0.28243805069892,0.140415915915916,0.213611111111111,0.0673048048048048,0.0965976430976431,0.102287537537538,0.367654986522911,0.463768115942029,0.466666666666667,43.27,17,0.745283018867924,0.632075471698113,68.87,17,0.650943396226415,0.492753623188406,0.1,0.292452830188679,0.150943396226415,0.433962264150943,0.565217391304348,0.471698113207547,0.481132075471698,40.43,17,0.216981132075472,0.19811320754717,0.971014492753623,0.111111111111111,0.132075471698113,0.354838709677419,0.112903225806452,0.403225806451613,0.978260869565217,0,0.0652173913043478,0.433962264150943,33.15,0.567303410289464,0.432696589710536,0.688679245283019,0.311320754716981,0.404344787773828,0.595655212226172,0.331475306845123,0.668524693154877,1.99180275019143,0.497950687547859,49.8
"18",18,"Matabeleland South","Youth",33,18,33,0.165519705904856,0.0749625187406297,0.0908368360462626,0.23766913186392,0.101924714486075,0.152297747055812,0.185144927536232,0.10625,0.0514901823281907,0.466329966329966,0.6,0.333333333333333,46.66,18,0.545454545454545,0.484848484848485,51.52,18,0.303030303030303,0.6,0.0454545454545455,0.151515151515152,0.0303030303030303,0.272727272727273,1,0.303030303030303,0.393939393939394,34.44,18,0.0909090909090909,0.0606060606060606,1,1,0.121212121212121,0.4,0.1,0.2,0.888888888888889,0,0.222222222222222,0.181818181818182,35.55,0.5334455667789,0.4665544332211,0.515151515151515,0.484848484848485,0.344444444444444,0.655555555555556,0.35547138047138,0.64452861952862,1.74851290684624,0.43712822671156,43.71
"19",19,"Midlands","35+",73,19,73,0.279717426482503,0.0697916666666667,0.0805794241253976,0.146388639738628,0.0470749659245797,0.096776499013261,0.0367391304347826,0.129523676805189,0.188843421722908,0.476407914764079,0.217391304347826,0.285714285714286,32.65,19,0.684931506849315,0.342465753424658,51.37,19,0.315068493150685,0.782608695652174,0.04,0.150684931506849,0.0958904109589041,0.191780821917808,0.714285714285714,0.410958904109589,0.465753424657534,35.19,19,0.295774647887324,0.26027397260274,0.956521739130435,0.5,0.123287671232877,0.140909090909091,0.472727272727273,0.281818181818182,1,0.0714285714285714,0.285714285714286,0.273972602739726,38.85,0.67349549839127,0.32650450160873,0.513698630136986,0.486301369863014,0.351892377359918,0.648107622640082,0.388535669682542,0.611464330317458,1.92762217557072,0.481905543892679,48.19
"20",20,"Midlands","Youth",53,20,53,0.298416738261355,0.20268068580089,0.20420057960291,0.181069162171983,0.0165811965811966,0.0422008547008547,0.0808852330591461,0.166601289242799,0.146515078213191,0.625786163522013,0.375,0.571428571428571,52.41,20,0.30188679245283,0.188679245283019,24.53,20,0.150943396226415,0.5,0,0.0188679245283019,0,0.132075471698113,0.571428571428571,0.339622641509434,0.320754716981132,22.6,20,0.176470588235294,0.207547169811321,1,0,0.0188679245283019,0,0.5,0,0.714285714285714,0.142857142857143,0.142857142857143,0.150943396226415,25.45,0.475928421683139,0.524071578316861,0.245283018867925,0.754716981132075,0.22596585804133,0.77403414195867,0.254485756566778,0.745514243433222,1.20166305515917,0.300415763789793,30.04
