"","X","province","size_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"11",11,"Mashonaland Central","Micro",78,11,78,0.215198822380995,0.117762392585088,0.171587634331416,0.182277007454031,0.0736467806756346,0.0560344827586207,0.0418233082706767,0.0728957781678617,0.058743842364532,0.456357521763922,0.1,0.48,34.55,11,0.358974358974359,0.0769230769230769,21.79,11,0.128205128205128,0.4,0.03125,0.0384615384615385,0.0128205128205128,0.358974358974359,0.666666666666667,0.615384615384615,0.180327868852459,27.02,11,0.0789473684210526,0.166666666666667,0.9,1,0.153846153846154,0,0,0.416666666666667,0.964285714285714,0.0909090909090909,0.125,0.551282051282051,37.06,0.654547492745359,0.345452507254641,0.217948717948718,0.782051282051282,0.270232298818364,0.729767701181636,0.370633642673116,0.629366357326884,1.51336215218556,0.378340538046389,37.83
"12",12,"Mashonaland Central","Small",30,12,30,0.113408072259004,0.15950715950716,0.121050824175824,0.2129556735535,0.094314381270903,0.18070652173913,0.0527777777777778,0.16971850613155,0.0375836120401338,0.370225425206268,0.315789473684211,0.5,39.53,12,0.7,0.366666666666667,53.33,12,0.633333333333333,0.5,0,0.433333333333333,0.166666666666667,0.535714285714286,0.857142857142857,0.866666666666667,0.321428571428571,47.94,12,0.166666666666667,0.233333333333333,1,0,0.266666666666667,0.480769230769231,0.0384615384615385,0,1,0.133333333333333,0.25,0.7,35.58,0.60466170036984,0.39533829963016,0.533333333333333,0.466666666666667,0.479365079365079,0.520634920634921,0.355769230769231,0.644230769230769,1.97312934383748,0.493282335959371,49.33
"13",13,"Mashonaland East","Medium",7,13,7,0,0,0,0.25,0.25,0,0,0.111111111111111,0.666666666666667,0.342857142857143,0,0,11.43,13,1,1,100,13,1,0.285714285714286,1,0.571428571428571,0.857142857142857,0.857142857142857,0.166666666666667,1,0.428571428571429,68.52,13,0.571428571428571,1,1,0,0.285714285714286,0.5,0.75,0.625,1,0,0.5,1,60.27,0.885714285714286,0.114285714285714,1,0,0.685185185185185,0.314814814814815,0.602678571428571,0.397321428571429,3.17357804232804,0.79339451058201,79.34
"14",14,"Mashonaland East","Micro",94,14,94,0.119438400823241,0.0313725490196078,0.113526586785493,0.305965471779075,0.140034479233464,0.347013669549008,0.0435848252344416,0.0901418808537015,0.070727174523307,0.595617580518061,0.0769230769230769,0.234567901234568,30.24,14,0.265957446808511,0.25531914893617,26.06,14,0.276595744680851,0.884615384615385,0,0.0531914893617021,0.0106382978723404,0.861702127659574,0.703703703703704,0.702127659574468,0.138297872340426,40.34,14,0.247311827956989,0.372340425531915,0.961538461538462,0,0.0957446808510638,0,0,0,0.987654320987654,0.0740740740740741,0.209876543209877,0.553191489361702,29.18,0.697630480441431,0.302369519558569,0.26063829787234,0.73936170212766,0.40343025331205,0.59656974668795,0.291810985292645,0.708189014707355,1.65351001691847,0.413377504229616,41.34
"15",15,"Mashonaland East","Small",31,15,31,0.047960372960373,0.0476190476190476,0.139160839160839,0.201060843917987,0.122987012987013,0.705050505050505,0.212861212861213,0.134877622377622,0.0831168831168831,0.441879866518354,0.0416666666666667,0.181818181818182,22.18,15,0.580645161290323,0.580645161290323,58.06,15,0.774193548387097,0.458333333333333,1,0.354838709677419,0.290322580645161,0.709677419354839,0.136363636363636,0.645161290322581,0.366666666666667,52.62,15,0.645161290322581,0.612903225806452,0.958333333333333,0,0.0967741935483871,0.409090909090909,0.409090909090909,0.363636363636364,1,0.0909090909090909,0.0454545454545455,0.806451612903226,45.32,0.778211761665599,0.221788238334401,0.580645161290323,0.419354838709677,0.526173020527859,0.473826979472141,0.45315045617465,0.54684954382535,2.33818039965843,0.584545099914608,58.45
"16",16,"Mashonaland West","Medium",8,16,8,0,0,0,0,0,0,0,0,0,0,0.625,0.625,41.67,16,1,1,100,16,1,1,1,1,0.25,1,1,1,1,91.67,16,1,1,1,0,0,0.375,0.8125,0.4375,1,0.285714285714286,1,1,65.92,0.583333333333333,0.416666666666667,1,0,0.916666666666667,0.083333333333333,0.65922619047619,0.34077380952381,3.15922619047619,0.789806547619047,78.98
"17",17,"Mashonaland West","Micro",111,17,111,0.233627444722549,0.105414348569143,0.220478102879277,0.187876210574806,0.0855026632437534,0.011617749825297,0.0762112010375488,0.0846349909158812,0.039966378123624,0.492419024529116,0.318181818181818,0.724137931034483,51.16,17,0.216216216216216,0.18018018018018,19.82,17,0.198198198198198,0.904761904761905,0,0.162162162162162,0.045045045045045,0.522522522522523,0.913793103448276,0.288288288288288,0.369369369369369,37.82,17,0.354545454545455,0.459459459459459,1,0,0.0540540540540541,0.36437908496732,0.490196078431373,0.464052287581699,0.96551724137931,0.0172413793103448,0.508771929824561,0.27027027027027,41.24,0.488420408751528,0.511579591248472,0.198198198198198,0.801801801801802,0.378237843755085,0.621762156244915,0.412373936651987,0.587626063348013,1.4772303873568,0.3693075968392,36.93
"18",18,"Mashonaland West","Small",43,18,43,0.0851879213223751,0.0751633986928105,0.086035696329814,0.180129978820797,0.142312430117308,0.049398214570381,0.19047619047619,0.342362786265225,0.0313737752762143,0.278628600239491,0.48,0.78125,51.33,18,0.674418604651163,0.627906976744186,65.12,18,0.581395348837209,0.96,0.0769230769230769,0.581395348837209,0.0465116279069767,0.744186046511628,0.71875,0.604651162790698,0.534883720930233,53.87,18,0.581395348837209,0.627906976744186,0.92,1,0.209302325581395,0.18,0.74,0.36,1,0.125,0.90625,0.558139534883721,60.07,0.486707133253503,0.513292866746497,0.651162790697674,0.348837209302326,0.538744036970781,0.461255963029219,0.600666182170543,0.399333817829457,2.2772801430925,0.569320035773125,56.93
"19",19,"Masvingo","Medium",1,19,1,0,0,0,0,0,0,0,0,0,0,1,0,33.33,19,1,1,100,19,1,1,0,1,1,1,0,1,1,77.78,19,1,1,1,0,1,0,1,1,1,0,0,1,66.67,0.666666666666667,0.333333333333333,1,0,0.777777777777778,0.222222222222222,0.666666666666667,0.333333333333333,3.11111111111111,0.777777777777778,77.78
"20",20,"Masvingo","Micro",114,20,114,0.098193241895019,0.0315086782376502,0.213514531250438,0.230409199565463,0.175500946004824,0.319514690341514,0.0309130122214234,0.0275920571536847,0.0469042748845311,0.551122151494764,0,0.435897435897436,32.9,20,0.087719298245614,0.0350877192982456,6.14,20,0.0614035087719298,0.714285714285714,0.0416666666666667,0.149122807017544,0,0.342105263157895,0.769230769230769,0.789473684210526,0.0892857142857143,32.85,20,0.258928571428571,0.43859649122807,1,0,0.0789473684210526,0.0882352941176471,0.147058823529412,0.117647058823529,1,0.128205128205128,0.368421052631579,0.157894736842105,31.53,0.670993470869267,0.329006529130733,0.0614035087719298,0.93859649122807,0.328508236402973,0.671491763597027,0.315327877102258,0.684672122897742,1.37623309314643,0.344058273286607,34.41
